,1,5,6,7,8,10,13,18,20,22,23,32,OTHER
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.9516949152542373,0.001694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046610169491525424
6,0.08012486992715921,0.0,0.8962885882761013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023586541796739507
7,0.09259259259259259,0.004050925925925926,0.0005787037037037037,0.8547453703703703,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.027199074074074073
8,0.0,0.0,0.012807377049180328,0.0,0.975922131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011270491803278689
10,0.0,0.0,0.0,0.0,0.0,0.9895875050060072,0.0,0.007208650380456548,0.0,0.0,0.0,0.0,0.0032038446135362435
13,0.17850033178500332,0.0,0.0,0.0,0.0,0.0,0.4041141340411413,0.0,0.0,0.0,0.0,0.0,0.4173855341738553
18,0.007462686567164179,0.006965174129353234,0.0,0.0,0.0,0.01990049751243781,0.0,0.9527363184079602,0.0,0.0,0.0,0.0,0.012935323383084577
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9466564573762124,0.0408371618172537,0.0,0.0,0.012506380806533947
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8902284263959391,0.0,0.0,0.10977157360406091
23,0.0049586776859504135,0.06060606060606061,0.0,0.0005509641873278236,0.006611570247933884,0.0,0.0,0.0,0.0,0.0,0.9041322314049587,0.0,0.023140495867768594
32,0.0,0.32061068702290074,0.0,0.0,0.0,0.0,0.0,0.0,0.233587786259542,0.0,0.0,0.10534351145038168,0.34045801526717556
OTHER,0.028171627941503973,0.014327072971568554,0.02227006161383713,0.02709524163016851,0.00011135030806918566,0.0,0.0,0.002895108009798827,0.0046395961695494025,0.0029322247791552223,3.7116769356395217e-05,0.0,0.8975205998069928
