,1,5,6,7,8,10,13,18,20,22,23,32,OTHER
1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,2246,4,0,0,0,0,0,0,0,0,0,110
6,231,0,2584,0,0,0,0,0,0,0,0,0,68
7,160,7,1,1477,0,0,0,36,0,0,0,0,47
8,0,0,25,0,1905,0,0,0,0,0,0,0,22
10,0,0,0,0,0,2471,0,18,0,0,0,0,8
13,269,0,0,0,0,0,609,0,0,0,0,0,629
18,15,14,0,0,0,40,0,1915,0,0,0,0,26
20,0,0,0,0,0,0,0,0,3709,160,0,0,49
22,0,0,0,0,0,0,0,0,0,1403,0,0,173
23,9,110,0,1,12,0,0,0,0,0,1641,0,42
32,0,420,0,0,0,0,0,0,306,0,0,138,446
OTHER,759,386,600,730,3,0,0,78,125,79,1,0,24181
